iteration,exact_match,first_word_accuracy
7500,0.2685,0.6043
500,0.2909,0.629
27000,0.1284,0.7236
36000,0.32,0.6135
71500,0.5269,0.7787
62000,0.4566,0.7614
50500,0.4163,0.6393
67500,0.5569,0.7829
18500,0.2538,0.4741
45500,0.3258,0.6628
59000,0.4048,0.7441
45000,0.2406,0.5553
54000,0.3823,0.7046
69000,0.5537,0.7819
61500,0.456,0.761
2000,0.26,0.4645
11500,0.181,0.57
41000,0.2439,0.4273
55500,0.3944,0.7035
26000,0.1448,0.7143
15000,0.2089,0.5624
72000,0.5271,0.7785
65000,0.5114,0.7776
24500,0.228,0.7818
43500,0.2184,0.5186
41500,0.2445,0.4281
74500,0.5252,0.7781
16000,0.2451,0.5344
39500,0.2404,0.4217
38500,0.2401,0.4978
46000,0.3497,0.668
55000,0.3992,0.7027
63500,0.4556,0.7598
7000,0.3055,0.899
33500,0.3069,0.5815
23500,0.2533,0.7945
10500,0.396,0.7098
52500,0.371,0.6358
5000,0.5638,0.7896
